en djurvän (~hatare)	an animal lover (~hater)	Ord för personer
en vegetarian	a vegetarian	Ord för personer
en nykterist	a teetotaler	Ord för personer
en soffpotatis	a couch potato	Ord för personer
en godisgris	a person who loves sweets (lit. "candy pig")	Ord för personer
en begåvning	a talented person	Ord för personer
en musikälskare	a music lover	Ord för personer
en blivande man/fru	a husband/wife-to-be	Ord för personer
ett ex	an ex	Ord för personer
en partner	a partner	Ord för personer
en kursare (en studiekamrat)	a fellow student (a study companion)	Ord för personer
en kollega (en arbetskamrat)	a colleague (a workmate)	Ord för personer
slår varandra en signal	give each other a call / text	Ett bevis på vänskap – är att man ...
liknar varandra	resemble each other	Ett bevis på vänskap – är att man ...
hör av sig till varandra	get in touch with each other	Ett bevis på vänskap – är att man ...
tittar förbi	drops by	Ett bevis på vänskap – är att man ...
hälsar på varandra	visits each other	Ett bevis på vänskap – är att man ...
lämnar sin vän ensam ibland	leaves their friend alone sometimes	Ett bevis på vänskap – är att man ...
brevväxlar med varandra	correspond with each other (by letter)	Ett bevis på vänskap – är att man ...
berömmer och uppmuntrar varandra	praise and encourage each other	Ett bevis på vänskap – är att man ...
stöttar varandra	support each other	Ett bevis på vänskap – är att man ...
aldrig tröttnar på varandra	never get tired of each other	Ett bevis på vänskap – är att man ...
njuter av varandras sällskap	enjoy each other's company	Ett bevis på vänskap – är att man ...
ofta samlas	often gather	Ett bevis på vänskap – är att man ...
inte vill förlora varandra	don't want to lose each other	Ett bevis på vänskap – är att man ...
upptäcker saker ihop	discover things together	Ett bevis på vänskap – är att man ...
har mycket gemensamt	have a lot in common	Ett bevis på vänskap – är att man ...
längtar efter varandra	long for each other	Ett bevis på vänskap – är att man ...
aktar sig (FÖR ngn/ngt)	is wary / careful (of someone/something)	Reflexiva verb
bryr sig (OM ngn/ngt)	cares (about someone/something)	Reflexiva verb
latar sig	is lazy / laze around	Reflexiva verb
hör av sig	gets in touch	Reflexiva verb
ångrar sig	regrets / changes their mind	Reflexiva verb
önskar sig	wishes for (themselves)	Reflexiva verb
sköter om sig	takes care of themselves	Reflexiva verb
skiljer sig (FRÅN ngn)	gets divorced (from someone)	Reflexiva verb
gifter sig (MED ngn)	gets married (to someone)	Reflexiva verb
koncentrerar sig (PÅ ngt)	concentrates (on something)	Reflexiva verb
aktiverar sig	becomes active	Reflexiva verb
anmäler sig (till)	signs up (for)	Reflexiva verb
bestämmer sig (för)	decides (on)	Reflexiva verb
förbereder sig (på/inför)	prepares (for)	Reflexiva verb
klarar sig	manages / gets by	Reflexiva verb
klipper sig	gets a haircut	Reflexiva verb
rakar sig	shaves	Reflexiva verb
torkar sig	dries themselves	Reflexiva verb
kammar sig	combs their hair	Reflexiva verb
lägger sig	goes to bed / lies down	Reflexiva verb
försover sig	oversleeps	Reflexiva verb
sätter sig	sits down	Reflexiva verb
ställer sig	stands / positions themselves	Reflexiva verb
trivs med varandra	enjoy being with each other	-s-verb
utvecklas tillsammans	develop together	-s-verb
förändras med tiden	change with time	-s-verb
umgås	socialize / spend time together	-s-verb
kramas	hug each other	-s-verb
träffas, hörs och ses	meet, hear from, and see each other	-s-verb
samlas	gather	-s-verb
ärlig ≠ oärlig (MOT ngn)	honest ≠ dishonest (to someone)	Jag önskar mig en vän som är ...
lojal (MOT ngn)	loyal (to someone)	Jag önskar mig en vän som är ...
utåtriktad	outgoing / extroverted	Jag önskar mig en vän som är ...
musikalisk	musical	Jag önskar mig en vän som är ...
intelligent, smart	intelligent, smart	Jag önskar mig en vän som är ...
hjälpsam	helpful	Jag önskar mig en vän som är ...
generös	generous	Jag önskar mig en vän som är ...
äventyrlig	adventurous	Jag önskar mig en vän som är ...
pålitlig	reliable	Jag önskar mig en vän som är ...
artig ≠ oartig	polite ≠ impolite	Jag önskar mig en vän som är ...
förmögen, rik ≠ fattig, helt pank	wealthy, rich ≠ poor, totally broke	... men det spelar ingen roll om hen är ...
känd	well-known	... men det spelar ingen roll om hen är ...
berömd	famous	... men det spelar ingen roll om hen är ...
charmig	charming	... men det spelar ingen roll om hen är ...
snygg	good-looking	... men det spelar ingen roll om hen är ...
religiös	religious	... men det spelar ingen roll om hen är ...
utåtriktad	outgoing	... men det spelar ingen roll om hen är ...
händig	handy / good with their hands	... men det spelar ingen roll om hen är ...
utbildad	educated	... men det spelar ingen roll om hen är ...
hopplös med pengar	hopeless with money	... men det spelar ingen roll om hen är ...
en förändring -ar	a change(s)	Vad kan påverka en vänskap?
en framgång -ar	a success(es)	Vad kan påverka en vänskap?
ett självförtroende	self-confidence	Vad kan påverka en vänskap?
en svårighet -er	a difficulty (-ies)	Vad kan påverka en vänskap?
en hemlighet -er	a secret(s)	Vad kan påverka en vänskap?
en sanning -ar	a truth(s)	Vad kan påverka en vänskap?
en lögn -er	a lie(s)	Vad kan påverka en vänskap?
en skilsmässa ≠ ett giftermål	a divorce ≠ a marriage	Vad kan påverka en vänskap?
en kris -er	a crisis (-es)	Vad kan påverka en vänskap?
något annat?	something else?	Vad kan påverka en vänskap?
introduceras	is introduced	Något nytt ...
slår igenom	breaks through	Något nytt ...
gör entré	makes an entrance	Något nytt ...
föds	is born	Något nytt ...
en ny författare debuterar	a new author makes their debut	Något nytt ...
tar droger	takes drugs	Verbfraser
flyttar ut på landet	moves out to the countryside	Verbfraser
odlar sin egen mat	grows their own food	Verbfraser
gör revolt	revolts	Verbfraser
är kopplad till	is linked to	Verbfraser
är som störst	is at its peak / greatest	Verbfraser
tänker tillbaka på	thinks back on	Verbfraser
får skydd mot	is protected against	Verbfraser
ngt är inne/ute	something is in / out (of fashion)	Verbfraser
tar kontakt med	makes contact with	Verbfraser
Ingen ska komma och säga att …	No one should come and say that …	Verbfraser
tryggar sin framtid	secures their future	Verbfraser
väntar sig	expects	Verbfraser
går över till	switches over to	Verbfraser
mäktig	powerful	Ska en regent vara ...?
väluppfostrad	well-mannered / well brought up	Ska en regent vara ...?
hjärtlös	heartless	Ska en regent vara ...?
sträng	strict	Ska en regent vara ...?
regerar	reigns	En regent ...
grundar en akademi	founds an academy	En regent ...
är illa omtyckt	is disliked	En regent ...
kommer överens om något	agrees on something	En regent ...
blir krönt	is crowned	En regent ...
blir kung	becomes king	En regent ...
får makten	gains power	En regent ...
tar makten	seizes power	En regent ...
förlorar makten	loses power	En regent ...
sitter vid makten	is in power	En regent ...
har ansvar för ngt	is responsible for something	En regent ...
grubblar på sina problem	broods over their problems	En regent ...
uppfostrar sina arvingar	raises their heirs	En regent ...
förbjuder alkohol	bans alcohol	En regent ...
ändrar på lagar	changes laws	En regent ...
förbereder sig för krig	prepares for war	En regent ...
skyddar sin befolkning	protects their population	En regent ...
blir besviken på ngn/ngt	becomes disappointed in someone/something	En regent ...
sysslar med välgörenhet	engages in charity work	En regent ...
stödjer funktionshindrade	supports people with disabilities	En regent ...
ett årtionde = ett decennium	a decade	Några historiska begrepp
ett århundrade = ett sekel	a century	Några historiska begrepp
rösträtten	the right to vote / suffrage	Några historiska begrepp
en folkomröstning	a referendum	Några historiska begrepp
kärnkraftsomröstningen	the nuclear power referendum	Några historiska begrepp
Palmemordet	the murder of (Prime Minister) Olof Palme	Några historiska begrepp
ett mål = ett språk (modersmål)	a language (mother tongue)	Prata om de nordiska språken!
ett grannspråk	a neighboring / related language	Prata om de nordiska språken!
förståelse	understanding / comprehension	Prata om de nordiska språken!
skriftspråk	written language	Prata om de nordiska språken!
falska vänner	false friends (words)	Prata om de nordiska språken!
en språkgrupp	a language group	Prata om de nordiska språken!
indoeuropeiska språk	Indo-European languages	Prata om de nordiska språken!
germanska språk	Germanic languages	Prata om de nordiska språken!
ett alkoholförbud	an alcohol ban / prohibition	... eller?
Kalmarunionen	the Kalmar Union	... eller?
en rörelse	a movement	... eller?
arbetarrörelsen	the labor movement	... eller?
miljörörelsen	the environmental movement	... eller?
pesten	the plague	... eller?
(bergmansk) ångest	(Bergmanesque) anxiety / angst	Prata om film, böcker och konst: olika teman
döden	death	Prata om film, böcker och konst: olika teman
familjen	the family	Prata om film, böcker och konst: olika teman
bristen på kommunikation	the lack of communication	Prata om film, böcker och konst: olika teman
den svenska synden	"the Swedish sin" (stereotype of Swedish permissiveness)	Prata om film, böcker och konst: olika teman
ungdom (-en)	youth	Prata om film, böcker och konst: olika teman
Guds tystnad	the silence of God	Prata om film, böcker och konst: olika teman
filmmanus (-et)	screenplay / film script	Om filmen/boken
titel (-n)	title	Om filmen/boken
tung och långsam	heavy and slow	Om filmen/boken
en snyftare	a tearjerker	Om filmen/boken
gripande	moving / gripping	Om filmen/boken
en svartvit film	a black-and-white film	Om filmen/boken
har gjort skandal	has caused a scandal	Om filmen/boken
(huvud-/bi-)karaktär (-er)	(main / supporting) character(s)	Om filmen/boken
(o)lyckligt slut	(un)happy ending	Om filmen/boken
(en) släktkrönika	a family saga / chronicle	Om filmen/boken
en folkkär konstnär	a beloved (national) artist	Om skaparen
folklig	down-to-earth / of the people	Om skaparen
omtyckt	well-liked	Om skaparen
stor konstnär	great artist	Om skaparen
bila (-r)	drive (a car)	I naturen kan man
uppleva (-er)	experience	I naturen kan man
upptäcka (-er)	discover	I naturen kan man
vara för sig själv	be by yourself	I naturen kan man
gå vilse	get lost	I naturen kan man
ta ett dopp	take a dip / swim	I naturen kan man
dagdrömma (-er)	daydream	I naturen kan man
glida fram över vattnet	glide across the water	I naturen kan man
söka lugn och ro	seek peace and quiet	I naturen kan man
bada naken	swim naked	I naturen kan man
ta/ha lång tid på sig	take / have a long time	I naturen kan man
få syn på (ett djur; en fågel)	catch sight of (an animal; a bird)	I naturen kan man
står för kulturell identitet, historia och traditioner	represent cultural identity, history and traditions	Landskapen i Sverige ...
viktiga för turistnäringen	important for the tourist industry	Landskapen i Sverige ...
är inte självstyrande	are not self-governing	Landskapen i Sverige ...
har inte egna lagar	do not have their own laws	Landskapen i Sverige ...
har symboler: en landskapsblomma / ett landskapsdjur	have symbols: a provincial flower / a provincial animal	Landskapen i Sverige ...
har inofficiella symboler	have unofficial symbols	Landskapen i Sverige ...
lockar turister	attract tourists	Landskapen i Sverige ...
kan man förälska sig i	one can fall in love with (them)	Landskapen i Sverige ...
imponerar	impress	Landskapen i Sverige ...
en älv	a (large) river	Natur
en fors	rapids	Natur
en sjö	a lake	Natur
ett fjäll	a mountain	Natur
